出處,華語,漢字,臺羅,,例句1,例句2,音檔位置
臺灣閩南語常用詞辭典,做頭髮,siat-tooh,siat-tooh,,欲過年矣，逐家攏會去予頭毛店siat-tooh一下。,,3994-3999
臺灣閩南語常用詞辭典,襯衫,siat-tsuh,siat-tsuh,,這軀siat-tsuh愛疊一个好的ne-kut-tái較正式。,,4002-4006
臺灣閩南語常用詞辭典,吐司,sio̍k-pháng,sio̍k-pháng,,早起時會用得用sio̍k-pháng𩛩煎卵做早起頓。,,4015-4021
臺灣閩南語常用詞辭典,白麵包,sio̍k-pháng,sio̍k-pháng,,x,,
臺灣閩南語常用詞辭典,板手,si̍p-pán-án,si̍p-pán-án,,x,,
臺灣閩南語常用詞辭典,溜滑梯,sir-bé-lí-lái,sir-bé-lí-lái,,x,,
臺灣閩南語常用詞辭典,不鏽鋼,sir-tián-lè-sù,sir-tián-lè-sù,,這坩sir-tián-lè-sù的鼎是雙胎的喔。,,4075-4078
臺灣閩南語常用詞辭典,醬料,sòo-sù,sòo-sù,,青菜煠好了後才閣摻一寡sòo-sù。,,4172-4177
臺灣閩南語常用詞辭典,烏醋,sòo-sù,sòo-sù,,x,,
臺灣閩南語常用詞辭典,速可達,su-khù-tà,su-khù-tà,,查某人騎su-khù-tà較好，騎傷大隻的會捒袂振動。,,4193-4205
臺灣閩南語常用詞辭典,塑膠車,su-khù-tà,su-khù-tà,(50cc輕型機車),查某人騎su-khù-tà較好，彼種一二五的會捒袂振動。,,
臺灣閩南語常用詞辭典,小綿羊,su-khù-tà,su-khù-tà,(50cc輕型機車),x,,
臺灣閩南語常用詞辭典,拖鞋,su-lit-pah,su-lit-pah,,借我一支su-lit-pah拍虼蚻。,,4222-4226
臺灣閩南語常用詞辭典,脫衣舞,su-tó-lip-puh,su-tó-lip-puh,,彼間牛肉場有咧跳su-tó-lip-puh。,,4236-4239
臺灣閩南語常用詞辭典,壽司,sú-sih,sú-sih,,阮查某孫上愛食sú-sih。,,4242-4246
臺灣閩南語常用詞辭典,黃蘿蔔,tha-khú-áng,tha-khú-áng,(黃蘿蔔、黃色的醃漬蘿蔔),古早時的飯會配一粒梅仔佮一塊tha-khú-áng。,"佇咧古早時陣，便當攏會配一粒梅仔佮一塊tha-khú-áng。4257-4263,4263-4269",
臺灣閩南語常用詞辭典,計程車,tha-khú-sih,tha-khú-sih,,大眾運輸較普遍了後，tha-khú-sih就無啥人坐矣。,,4293-4302
臺灣閩南語常用詞辭典,疊蓆,tha-thá-mih,tha-thá-mih,,睏Tha-thá-mih比睏眠床較涼較爽快。,,4319-4329
臺灣閩南語常用詞辭典,塌塌米,tha-thá-mih,tha-thá-mih,,Tha-thá-mih佇反天的時陣嘛無啥會溼溼，蹛起來蓋快活。,,
臺灣閩南語常用詞辭典,輪胎,thài-ià,thài-ià,,我彼台車最近才共四个thài-ià全部換過一遍。,,4354-4359
臺灣閩南語常用詞辭典,瓷磚,thài-lù,thài-lù,,這種thài-lù會使擋水。,灶跤的thài-lù已經必開矣，愛敲電話叫師傅來換。,"4363-4368, 4370-4374"
臺灣閩南語常用詞辭典,墨魚,thak-khooh,thak-khooh,,這種thak-khooh的皮蓋厚、蓋khiū、蓋好食。,,4381-4385
臺灣閩南語常用詞辭典,探戈,thàn-gòo,thàn-gòo,,Thàn-gòo是一款蓋文雅的舞蹈。,In跳thàn-gòo跳甲滿埕四界飛。,"4387-4394, 4414-4419"
臺灣閩南語常用詞辭典,衣櫥,thàng-sù,thàng-sù,,這thàng-sù是阿媽的嫁粧嫁(kà)來的。,,4425-4429
臺灣閩南語常用詞辭典,網球,the-ní-suh,the-ní-suh,,拍the-ní-suh愛走來走去的，蓋忝。,,4467-4473
臺灣閩南語常用詞辭典,甜不辣,thia̋n-pú-lah,thia̋n-pú-lah,,Seven-eleven的thia̋n-pú-lah規工攏有咧賣。,彼擔暗時佇夜市仔咧賣thia̋n-pú-lah，誠受歡迎，生理有夠好的。,"4478-4483, 4490-4500"
臺灣閩南語常用詞辭典,卡車,thoo-lá-khuh,thoo-lá-khuh,,Thoo-lá-khuh駛過去了後空氣誠䆀。,Thoo-lá-khuh駛過去，烏煙黗飛四界，空氣誠䆀。,"4507-4516, 4521-4525"
臺灣閩南語常用詞辭典,西紅柿,thoo-má-tooh,thoo-má-tooh,,這馬thoo-má-tooh愈來愈甜，毋好食傷濟。,,4615-4620
臺灣閩南語常用詞辭典,番茄,thoo-má-tooh,thoo-má-tooh,,x,,
臺灣閩南語常用詞辭典,多桑,tóo-sàng,tóo-sàng,,以早的tóo-sàng蓋有尊嚴，佮這馬無啥仝款。,,4622-4627
臺灣閩南語常用詞辭典,父親,tóo-sàng,tóo-sàng,,x,,
臺灣閩南語常用詞辭典,剪刀,tsiok-kih,tsiok-kih,,x,,
臺灣閩南語常用詞辭典,巧克力,tsioo-kóo-lè-tòo,tsioo-kóo-lè-tòo,,查埔囡仔定定會送tsioo-kóo-lè-tòo予查某囡仔，想袂到煞予人愈食愈肥。,這馬蓋濟查埔囡仔會送tsioo-kóo-lè-tòo予查某囡仔食。,"4663-4670,4679-4680"
臺灣閩南語常用詞辭典,小費,tsit-puh,tsit-puh,,你去店裡若食了愛會記得予人tsit-puh。,,4689-4692
臺灣閩南語常用詞辭典,烏龍麵,u-lóng,u-lóng,,彼間的u-lóng麵蓋khiū，有閒的時陣會使做伙去食看覓。,,4704-4711
臺灣閩南語常用詞辭典,華爾茲,ua-lú-tsuh,ua-lú-tsuh,,In一定是練習誠久才有法度跳ua-lú-tsuh跳甲遮爾媠。,下晡的門口埕，la-jí-ooh傳來ua-lú-tsuh的歌。,4795-4801
臺灣閩南語常用詞辭典,芥末,ua-sá-bih,ua-sá-bih,,這ua-sá-bih哪會遐爾薟啦？薟甲會擤鼻。,,4726-4730
臺灣閩南語常用詞辭典,山葵醬,ua-sá-bih,ua-sá-bih,,這ua-sá-bih足薟的，會擤鼻喔。,,
臺灣閩南語常用詞辭典,白襯衫,ua̋i-siat-tsuh,ua̋i-siat-tsuh,,穿ua̋i-siat-tsuh看起來較有精神。,穿ua̋i-siat-tsuh看起來較有精神款。,4805-4808
臺灣閩南語常用詞辭典,運將,ùn-tsiàng,ùn-tsiàng,,這馬ùn-tsiàng趁錢是愈來愈辛苦。,,4813-4817
臺灣閩南語常用詞辭典,司機,ùn-tsiàng,ùn-tsiàng,,做ùn-tsiàng是愈來愈歹趁錢。,,
,,,,,,,
,飯店或旅館的女服務員、女中,nè-tsiàng,nè-tsiàng,(飯店或旅館的女服務員、女中),這間飯店的nè-tsiàng攏足有禮貌的。,,4831-4835
,分趾鞋襪、足袋,that-bí,that-bí,(一種工作鞋),x,,
,日本古裝武打戲,tshia̋n-pá-lah,tshia̋n-pá-lah,(兒童模擬武打戲的、日本古裝武打戲),Tshia̋n-pá-lah是阮阿公較早上愛看的戲。,,4897-4900
,若元錠健胃整腸藥,ua-khá-móo-tooh,ua-khá-móo-tooh,(一種保健藥品),你若欲顧胃腸，予胃腸較好咧，愛會記得逐工食ua-khá-móo-tooh。,,4912-4921
,特多龍,the-thóo-lóng,the-thóo-lóng,(特多龍),有的衫伊的布料是the-thóo-lóng。,,4941-4946
